year,variable,census_label,race_label,is_hispanic
2010,"H7Z003","Not Hispanic or Latino: White alone","White",FALSE
2010,"H7Z004","Not Hispanic or Latino: Black or African American alone","Black",FALSE
2010,"H7Z005","Not Hispanic or Latino: American Indian and Alaska Native alone","Native American",FALSE
2010,"H7Z006","Not Hispanic or Latino: Asian alone","Asian",FALSE
2010,"H7Z007","Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone","Pacific Islander",FALSE
2010,"H7Z008","Not Hispanic or Latino: Some Other Race alone","Other",FALSE
2010,"H7Z009","Not Hispanic or Latino: Two or More Races","Other",FALSE
2010,"H7Z011","Hispanic or Latino: White alone","White",TRUE
2010,"H7Z012","Hispanic or Latino: Black or African American alone","Black",TRUE
2010,"H7Z013","Hispanic or Latino: American Indian and Alaska Native alone","Native American",TRUE
2010,"H7Z014","Hispanic or Latino: Asian alone","Asian",TRUE
2010,"H7Z015","Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone","Pacific Islander",TRUE
2010,"H7Z016","Hispanic or Latino: Some Other Race alone","Other",TRUE
2010,"H7Z017","Hispanic or Latino: Two or More Races","Other",TRUE
1980,"DFB001","White","White",FALSE
1980,"DFB002","Black","Black",FALSE
1980,"DFB003","American Indian, Eskimo and Aleut: American Indian","Native American",FALSE
1980,"DFB004","American Indian, Eskimo and Aleut: Eskimo","Native American",FALSE
1980,"DFB005","American Indian, Eskimo and Aleut: Aleut","Native American",FALSE
1980,"DFB006","Asian and Pacific Islander: Japanese","Asian",FALSE
1980,"DFB007","Asian and Pacific Islander: Chinese","Asian",FALSE
1980,"DFB008","Asian and Pacific Islander: Filipino","Asian",FALSE
1980,"DFB009","Asian and Pacific Islander: Korean","Asian",FALSE
1980,"DFB010","Asian and Pacific Islander: Asian Indian","Asian",FALSE
1980,"DFB011","Asian and Pacific Islander: Vietnamese","Asian",FALSE
1980,"DFB012","Asian and Pacific Islander: Hawaiian","Pacific Islander",FALSE
1980,"DFB013","Asian and Pacific Islander: Guamanian","Pacific Islander",FALSE
1980,"DFB014","Asian and Pacific Islander: Samoan","Pacific Islander",FALSE
1980,"DFB015","Asian and Pacific Islander: Other","Asian",FALSE
1980,"DFB016","Other (race N.E.C.): Spanish","Other",TRUE
1980,"DFB017","Other (race N.E.C.): Not Spanish","Other",FALSE
1980,"DFN001","Not of Spanish origin",NA,FALSE
1980,"DFN002","Mexican",NA,TRUE
1980,"DFN003","Puerto Rican",NA,TRUE
1980,"DFN004","Cuban",NA,TRUE
1980,"DFN005","Other Spanish: White, Black, American Indian, Eskimo, Aleut, and Asian and Pacific Islander",NA,TRUE
